Accuracy: 0.4841302136317396

n_chords: 1
n_melody: 1
t_prior: 0.0
e_prior: 7.5
dataset: All
keys: mixolydian
filter_train_set: True
filter_val_set: True

~ First 3000 predicted states ~
Predicted	True
[-1 -1]	[-1 -1]
[ 1 -1]	[ 1 -1]
[ 1 73]	[ 1 80]
[ 1 80]	[ 1 82]
[ 1 82]	[ 1 83]
[ 1 80]	[ 1 82]
[ 1 78]	[ 1 80]
[ 1 77]	[ 1 78]
[ 1 80]	[ 1 77]
[ 1 85]	[ 1 80]
[ 1 85]	[ 1 82]
[ 1 83]	[ 1 83]
[ 1 82]	[ 1 83]
[ 1 83]	[ 1 82]
[ 1 82]	[ 1 80]
[ 1 80]	[ 1 80]
[ 1 82]	[ 1 80]
[ 1 80]	[ 1 82]
[ 1 82]	[ 1 83]
[ 1 80]	[ 1 82]
[ 1 78]	[ 1 80]
[ 1 77]	[ 1 78]
[ 1 78]	[ 1 77]
[12 77]	[ 1 73]
[12 75]	[ 1 77]
[12 71]	[12 75]
[ 1 75]	[12 71]
[ 1 73]	[ 1 71]
[ 1 73]	[ 1 73]
[ 1 73]	[ 1 73]
[ 1 73]	[ 1 73]
[ 1 73]	[ 1 73]
[ 1 77]	[ 1 73]
[ 1 78]	[ 1 73]
[ 1 77]	[ 1 73]
[ 1 78]	[ 1 80]
[ 1 77]	[ 1 78]
[ 1 73]	[ 1 77]
[ 1 73]	[ 1 73]
[ 1 73]	[ 1 73]
[ 1 73]	[ 1 73]
[ 1 73]	[ 1 73]
[ 1 73]	[12 77]
[ 1 73]	[12 75]
[ 1 73]	[ 1 75]
[ 1 73]	[ 1 73]
[ 1 77]	[ 1 73]
[ 1 78]	[ 1 73]
[ 1 77]	[ 1 73]
[ 1 73]	[ 1 80]
[ 1 73]	[ 1 78]
[ 1 73]	[ 1 77]
[ 1 73]	[ 1 77]
[ 1 73]	[ 1 73]
[ 1 73]	[12 77]
[ 1 73]	[12 75]
[ 1 73]	[ 1 71]
[ 1 77]	[ 1 73]
[ 1 78]	[ 1 73]
[ 1 77]	[ 1 73]
[-1 -1]	[ 1 80]
[ 1 -1]	[-1 80]
[ 1 73]	[ 1 78]
[ 1 75]	[ 1 77]
[12 77]	[ 1 73]
[12 75]	[12 77]
[12 77]	[12 75]
[12 78]	[12 71]
[ 1 75]	[12 78]
[ 1 73]	[ 1 75]
[ 1 73]	[ 1 77]
[ 1 73]	[ 1 73]
[ 1 73]	[ 1 77]
[ 1 80]	[ 1 75]
[ 1 82]	[ 6 73]
[ 1 80]	[ 6 85]
[ 1 73]	[ 1 80]
[ 1 75]	[ 1 77]
[12 77]	[ 1 73]
[12 75]	[12 77]
[12 77]	[12 75]
[12 78]	[12 71]
[12 75]	[12 78]
[12 77]	[ 1 75]
[ 1 78]	[ 1 77]
[ 1 77]	[ 1 78]
[ 1 78]	[ 8 80]
[ 1 77]	[ 8 75]
[ 1 73]	[ 1 77]
[ 1 77]	[ 1 73]
[ 1 78]	[ 1 73]
[ 1 77]	[ 1 78]
[ 1 78]	[ 1 77]
[ 1 80]	[ 1 80]
[12 82]	[ 1 80]
[12 83]	[12 82]
[12 80]	[12 83]
[12 78]	[12 71]
[ 1 75]	[12 78]
[ 1 77]	[ 1 75]
[ 1 80]	[ 1 77]
[ 1 82]	[ 1 80]
[ 1 80]	[ 1 82]
[ 1 82]	[ 1 83]
[ 1 80]	[ 1 85]
[ 1 82]	[ 1 80]
[ 1 80]	[ 1 85]
[ 1 82]	[ 1 80]
[ 1 83]	[ 1 77]
[ 1 80]	[ 1 80]
[12 82]	[ 1 80]
[12 83]	[12 82]
[12 80]	[12 83]
[12 78]	[12 71]
[12 75]	[12 78]
[12 77]	[ 1 75]
[ 1 78]	[ 1 77]
[ 1 77]	[ 1 78]
[ 1 78]	[ 8 80]
[ 1 77]	[ 8 75]
[-1 -1]	[ 1 77]
[ 1 -1]	[-1 73]
[ 1 73]	[-1 80]
[ 1 73]	[ 1 78]
[ 1 73]	[ 1 77]
[ 1 73]	[ 1 80]
[ 1 73]	[ 1 73]
[ 1 73]	[ 1 73]
[ 1 73]	[ 1 73]
[ 1 77]	[ 1 73]
[ 1 80]	[ 1 73]
[ 1 78]	[ 1 78]
[ 1 77]	[ 1 80]
[ 1 73]	[12 80]
[ 1 73]	[12 78]
[ 1 73]	[12 75]
[ 1 73]	[ 1 80]
[ 1 73]	[ 1 73]
[ 1 77]	[ 1 73]
[ 1 78]	[ 1 73]
[ 1 77]	[20 73]
[ 1 73]	[20 80]
[ 1 75]	[20 78]
[ 1 77]	[ 1 75]
[ 1 73]	[ 1 77]
[ 1 73]	[ 1 80]
[ 1 73]	[ 1 73]
[ 1 73]	[ 1 73]
[ 1 77]	[ 1 73]
[ 1 78]	[ 1 73]
[ 1 80]	[ 1 73]
[ 1 85]	[ 6 77]
[ 1 85]	[20 78]
[ 1 87]	[12 80]
[ 1 89]	[12 83]
[ 1 87]	[12 85]
[12 85]	[ 1 87]
[12 83]	[ 1 85]
[12 80]	[ 1 83]
[12 78]	[20 80]
[ 1 78]	[20 78]
[ 1 77]	[20 75]
[ 1 73]	[ 1 80]
[ 1 73]	[ 1 73]
[ 1 77]	[ 1 73]
[ 1 78]	[ 1 73]
[ 1 80]	[ 1 73]
[ 1 82]	[ 1 77]
[ 1 83]	[ 1 80]
[ 1 82]	[ 1 83]
[ 1 80]	[ 1 80]
[ 1 78]	[ 1 80]
[ 1 80]	[ 1 78]
[ 6 77]	[ 6 77]
[ 6 78]	[ 6 78]
[ 6 77]	[ 6 78]
