Accuracy: 0.41245551601423486

n_chords: 1
n_melody: 1
t_prior: 15.0
e_prior: 30.0
dataset: Nottingham
keys: All
filter_train_set: True
filter_val_set: True

~ First 3000 predicted states ~
Predicted	True
[-1 -1]	[-1 -1]
[ 1 89]	[-1 -1]
[ 1 90]	[-1 89]
[ 1 89]	[ 1 90]
[ 1 92]	[ 1 92]
[ 1 89]	[ 1 92]
[ 1 87]	[ 1 94]
[ 1 89]	[ 1 92]
[ 1 87]	[ 1 91]
[ 1 89]	[ 1 92]
[ 1 87]	[ 1 89]
[ 1 89]	[ 1 85]
[ 1 85]	[ 8 89]
[ 1 85]	[ 8 87]
[ 1 89]	[ 8 84]
[ 1 87]	[ 8 80]
[ 1 85]	[ 1 90]
[ 1 80]	[ 1 89]
[ 1 85]	[ 1 85]
[ 1 87]	[ 8 82]
[ 1 89]	[ 8 80]
[ 1 90]	[ 8 89]
[ 1 89]	[ 1 90]
[ 1 92]	[ 1 92]
[ 1 89]	[ 1 92]
[ 1 87]	[ 1 94]
[ 1 89]	[ 1 92]
[ 1 87]	[ 1 91]
[ 1 89]	[ 1 92]
[ 1 87]	[ 1 89]
[ 1 89]	[ 1 85]
[ 1 85]	[ 8 89]
[ 1 82]	[ 8 87]
[ 1 80]	[ 8 84]
[ 1 85]	[ 8 80]
[ 1 85]	[ 8 82]
[ 1 84]	[ 1 84]
[ 1 85]	[ 1 85]
[ 1 80]	[ 1 85]
[ 1 82]	[ 1 84]
[ 1 80]	[ 1 82]
[ 1 77]	[ 1 80]
[ 1 77]	[ 8 82]
[ 1 80]	[ 8 78]
[ 1 82]	[ 1 80]
[ 1 80]	[ 1 77]
[ 1 85]	[ 1 80]
[ 1 87]	[ 1 85]
[ 1 89]	[ 1 87]
[ 1 85]	[15 89]
[ 1 85]	[15 90]
[ 1 80]	[ 8 87]
[ 1 85]	[ 8 84]
[ 1 84]	[ 8 82]
[ 1 85]	[ 1 84]
[ 1 85]	[ 1 85]
[ 1 84]	[ 1 89]
[ 1 85]	[ 6 87]
[ 1 80]	[ 6 85]
[ 1 82]	[ 6 84]
[ 1 80]	[ 1 82]
[ 1 77]	[ 1 80]
[ 1 77]	[ 8 82]
[ 1 80]	[ 8 78]
[ 1 82]	[ 1 80]
[ 1 80]	[ 1 77]
[ 1 85]	[ 1 80]
[ 1 87]	[ 1 85]
[ 1 89]	[ 1 87]
[ 1 85]	[ 6 89]
[ 1 85]	[ 6 90]
[ 1 80]	[ 8 87]
[ 1 85]	[ 8 84]
[ 1 84]	[ 8 82]
[-1 -1]	[ 1 84]
[ 1 85]	[-1 85]
[ 1 80]	[-1 82]
[ 1 77]	[ 1 84]
[ 1 80]	[ 1 85]
[ 1 77]	[ 1 77]
