Accuracy: 0.010119241920927821

n_chords: 2
n_melody: 2
t_prior: 0.5
e_prior: 0.0
dataset: The Session
keys: All
filter_train_set: True
filter_val_set: True

~ First 3000 predicted states ~
Predicted	True
[24 24 90 87]	[-1 -1 -1 -1]
[24 24 90 87]	[-1  1 -1 -1]
[24 24 90 87]	[ 1  1 -1 68]
[24 24 90 87]	[ 1  1 68 70]
[24 24 90 87]	[ 1  1 70 73]
[24 24 90 87]	[ 1  1 73 77]
[24 24 90 87]	[ 1  1 77 75]
[24 24 90 87]	[ 1  8 75 73]
[24 24 90 87]	[ 8  8 73 75]
[24 24 90 87]	[ 8  8 75 73]
[24 24 90 87]	[ 8  1 73 75]
[24 24 90 87]	[ 1  1 75 77]
[24 24 90 87]	[ 1  1 77 80]
[24 24 90 87]	[ 1  6 80 85]
[24 24 90 87]	[ 6  6 85 82]
[24 24 90 87]	[ 6  6 82 85]
[24 24 90 87]	[ 6 10 85 82]
[24 24 90 87]	[10 10 82 82]
[24 24 90 87]	[10 10 82 80]
[24 24 90 87]	[10  3 80 77]
[24 24 90 87]	[ 3  3 77 75]
[24 24 90 87]	[ 3  3 75 77]
[24 24 90 87]	[ 3  8 77 75]
[24 24 90 87]	[ 8  8 75 75]
[24 24 90 87]	[ 8  8 75 73]
[24 24 90 87]	[ 8  1 73 70]
[24 24 90 87]	[ 1  1 70 68]
[24 24 90 87]	[ 1  1 68 70]
[24 24 90 87]	[ 1  1 70 73]
[24 24 90 87]	[ 1  1 73 77]
[24 24 90 87]	[ 1  1 77 75]
[24 24 90 87]	[ 1  8 75 73]
[24 24 90 87]	[ 8  8 73 75]
[24 24 90 87]	[ 8  8 75 73]
[24 24 90 87]	[ 8  1 73 75]
[24 24 90 87]	[ 1  1 75 77]
[24 24 90 87]	[ 1  1 77 80]
[24 24 90 87]	[ 1  6 80 85]
[24 24 90 87]	[ 6  6 85 82]
[24 24 90 87]	[ 6  6 82 85]
[24 24 90 87]	[ 6  6 85 82]
[24 24 90 87]	[ 6  6 82 82]
[24 24 90 87]	[ 6  6 82 80]
[24 24 90 87]	[ 6  8 80 77]
[24 24 90 87]	[ 8  8 77 75]
[24 24 90 87]	[ 8  8 75 73]
[24 24 90 87]	[ 8  1 73 70]
[24 24 90 87]	[ 1 10 70 73]
[24 24 90 87]	[10 10 73 85]
[24 24 90 87]	[10 10 85 84]
[24 24 90 87]	[10 10 84 85]
[24 24 90 87]	[10 10 85 82]
[24 24 90 87]	[10 10 82 80]
[24 24 90 87]	[10 10 80 78]
[24 24 90 87]	[10 10 78 77]
[24 24 90 87]	[10 10 77 78]
[24 24 90 87]	[10  8 78 80]
[24 24 90 87]	[ 8  8 80 80]
[24 24 90 87]	[ 8  8 80 77]
[24 24 90 87]	[ 8  1 77 80]
[24 24 90 87]	[ 1  1 80 68]
[24 24 90 87]	[ 1  1 68 70]
[24 24 90 87]	[ 1  3 70 73]
[24 24 90 87]	[ 3  3 73 75]
[24 24 90 87]	[ 3  3 75 73]
[24 24 90 87]	[ 3  8 73 75]
[24 24 90 87]	[ 8  8 75 77]
[24 24 90 87]	[ 8  8 77 75]
[24 24 90 87]	[ 8  8 75 75]
[24 24 90 87]	[ 8  8 75 75]
[24 24 90 87]	[ 8  8 75 77]
[24 24 90 87]	[ 8 10 77 80]
[24 24 90 87]	[10 10 80 85]
[24 24 90 87]	[10 10 85 84]
[24 24 90 87]	[10 10 84 85]
[24 24 90 87]	[10 10 85 82]
[24 24 90 87]	[10 10 82 80]
[24 24 90 87]	[10 10 80 78]
[24 24 90 87]	[10 10 78 77]
[24 24 90 87]	[10 10 77 78]
[24 24 90 87]	[10  8 78 80]
[24 24 90 87]	[ 8  8 80 80]
[24 24 90 87]	[ 8  8 80 77]
[24 24 90 87]	[ 8  1 77 80]
[24 24 90 87]	[ 1  1 80 68]
[24 24 90 87]	[ 1  1 68 70]
[24 24 90 87]	[ 1  8 70 73]
[24 24 90 87]	[ 8  8 73 75]
[24 24 90 87]	[ 8  8 75 73]
[24 24 90 87]	[ 8  8 73 75]
[24 24 90 87]	[ 8  8 75 77]
[24 24 90 87]	[ 8  8 77 73]
[24 24 90 87]	[ 8  1 73 73]
[24 24 90 87]	[ 1  1 73 73]
[24 24 90 87]	[ 1  1 73 80]
[24 24 90 87]	[ 1  1 80 77]
[24 24 90 87]	[ 1  1 77 73]
[24 24 90 87]	[ 1  1 73 73]
[24 24 90 87]	[ 1  1 73 73]
[24 24 90 87]	[ 1  1 73 75]
[24 24 90 87]	[ 1  1 75 77]
[24 24 90 87]	[ 1  1 77 78]
[24 24 90 87]	[ 1  1 78 80]
[24 24 90 87]	[ 1  1 80 77]
[24 24 90 87]	[ 1  1 77 80]
[24 24 90 87]	[ 1  1 80 85]
[24 24 90 87]	[ 1  1 85 80]
[24 24 90 87]	[ 1  1 80 77]
[24 24 90 87]	[ 1  1 77 80]
[24 24 90 87]	[ 1  1 80 77]
[24 24 90 87]	[ 1  8 77 73]
[24 24 90 87]	[ 8  8 73 77]
[24 24 90 87]	[ 8  8 77 73]
[24 24 90 87]	[ 8  1 73 68]
[24 24 90 87]	[ 1  1 68 73]
[24 24 90 87]	[ 1  1 73 72]
[24 24 90 87]	[ 1  3 72 73]
[24 24 90 87]	[ 3  3 73 75]
[24 24 90 87]	[ 3  3 75 73]
[24 24 90 87]	[ 3  8 73 75]
[24 24 90 87]	[ 8  8 75 77]
[24 24 90 87]	[ 8  8 77 75]
[24 24 90 87]	[ 8  8 75 75]
[24 24 90 87]	[ 8  8 75 75]
[24 24 90 87]	[ 8  8 75 77]
[24 24 90 87]	[ 8  1 77 78]
[24 24 90 87]	[ 1  1 78 80]
[24 24 90 87]	[ 1  1 80 77]
[24 24 90 87]	[ 1  1 77 80]
[24 24 90 87]	[ 1  1 80 85]
[24 24 90 87]	[ 1  1 85 80]
[24 24 90 87]	[ 1  1 80 77]
[24 24 90 87]	[ 1  1 77 80]
[24 24 90 87]	[ 1  1 80 77]
[24 24 90 87]	[ 1  8 77 73]
[24 24 90 87]	[ 8  8 73 77]
[24 24 90 87]	[ 8  8 77 73]
[24 24 90 87]	[ 8  6 73 68]
[24 24 90 87]	[ 6  6 68 73]
[24 24 90 87]	[ 6  6 73 72]
[24 24 90 87]	[ 6  8 72 73]
