Accuracy: 0.49513568868407576

n_chords: 1
n_melody: 1
t_prior: 0.0
e_prior: 15.0
dataset: All
keys: phrygian
filter_train_set: True
filter_val_set: True

~ First 3000 predicted states ~
Predicted	True
[-1 -1]	[-1 -1]
[ 1 -1]	[ 1 -1]
[ 1 73]	[ 1 73]
[ 1 80]	[ 1 76]
[ 1 78]	[ 1 76]
[ 1 80]	[ 1 80]
[ 1 80]	[ 1 80]
[ 1 78]	[ 1 78]
[ 1 80]	[ 1 78]
[ 1 78]	[ 1 80]
[ 1 76]	[ 1 80]
[ 1 76]	[ 1 76]
[ 1 76]	[ 1 76]
[ 1 76]	[ 1 78]
[ 1 76]	[ 1 78]
[ 1 76]	[ 1 74]
[24 78]	[ 1 74]
[24 76]	[ 1 76]
[24 74]	[ 1 76]
[24 73]	[24 74]
[24 74]	[24 73]
[24 76]	[24 71]
[ 1 74]	[24 73]
[ 1 73]	[ 1 74]
[ 1 73]	[ 1 76]
[ 1 73]	[ 1 73]
[ 1 73]	[ 1 76]
[ 1 73]	[ 1 73]
[ 1 73]	[ 1 73]
[ 1 85]	[1 0]
[24 85]	[24 73]
[24 86]	[24 83]
[24 85]	[24 86]
[24 83]	[24 85]
[24 81]	[24 83]
[24 80]	[24 81]
[24 81]	[24 80]
[24 83]	[24 78]
[24 81]	[24 80]
[24 83]	[24 81]
[24 81]	[24 83]
[24 80]	[24 81]
[24 78]	[24 80]
[24 80]	[24 78]
[24 81]	[24 76]
[24 83]	[24 78]
[24 81]	[24 80]
[24 83]	[24 81]
[24 81]	[24 83]
[24 80]	[24 81]
[24 78]	[24 80]
[24 80]	[ 1 78]
[24 78]	[ 1 76]
[24 76]	[ 1 78]
[24 74]	[ 1 74]
[24 73]	[ 1 76]
[24 74]	[24 73]
[24 73]	[24 71]
[24 73]	[24 73]
[24 74]	[24 74]
[24 73]	[24 71]
[24 73]	[24 73]
[24 74]	[24 74]
[24 73]	[24 71]
[24 74]	[24 73]
[24 73]	[24 74]
[24 71]	[24 71]
[24 73]	[24 71]
[24 74]	[24 70]
[24 76]	[24 71]
[24 78]	[24 73]
[24 80]	[24 74]
[24 78]	[24 76]
[24 76]	[24 78]
[ 1 74]	[24 76]
[ 1 73]	[ 1 74]
[ 1 73]	[ 1 73]
[ 1 73]	[ 1 73]
[ 1 73]	[ 1 73]
[ 1 73]	[ 1 73]
[-1 -1]	[ 1 73]
[ 1 -1]	[1 0]
[ 1 73]	[ 1 77]
[ 1 73]	[ 1 78]
[ 1 73]	[ 1 76]
[ 1 81]	[ 1 74]
[ 1 83]	[ 1 73]
[ 1 81]	[ 1 80]
[ 1 80]	[ 1 81]
[ 1 80]	[ 1 80]
[ 1 78]	[ 1 78]
[ 1 80]	[ 1 78]
[ 1 78]	[ 1 77]
[ 1 76]	[ 1 78]
[ 1 74]	[ 1 76]
[ 1 73]	[ 1 74]
[ 1 73]	[ 1 73]
[ 1 73]	[ 1 77]
[ 1 73]	[ 1 76]
[ 1 73]	[ 1 73]
[ 1 73]	[ 1 73]
[ 1 73]	[ 1 73]
[ 1 73]	[ 1 73]
[18  0]	[ 1 73]
[18 85]	[ 6 73]
[18 85]	[ 6 85]
[18 85]	[ 6 85]
[18 85]	[ 6 85]
[18 85]	[ 6 85]
[18 85]	[ 6 85]
[18 85]	[ 1 85]
[18 85]	[ 1 85]
[18 85]	[ 6 85]
[18 85]	[ 6 85]
[18 85]	[ 6 85]
[18 85]	[ 6 85]
[18 85]	[ 6 85]
[18 85]	[ 6 85]
[18 85]	[ 6 85]
[18 85]	[ 6 85]
[18 85]	[ 1 85]
[-1 -1]	[ 1 85]
[ 1 -1]	[ 1 85]
[ 1 73]	[ 1 76]
[ 1 73]	[ 1 78]
[ 1 73]	[ 1 76]
[ 1 73]	[ 1 74]
[ 1 73]	[ 1 73]
[ 1 73]	[ 1 73]
[ 1 73]	[ 1 73]
[ 1 73]	[ 1 73]
[ 1 73]	[ 1 73]
[ 1 73]	[ 1 73]
[ 1 73]	[ 1 73]
[ 1 73]	[ 1 73]
[ 1 73]	[ 1 73]
[ 1 73]	[ 1 73]
[ 1 73]	[18 73]
[ 1 73]	[18 73]
[ 1 73]	[18 73]
[ 1 73]	[18 73]
[ 1 73]	[18 73]
[ 1 73]	[18 73]
[ 1 73]	[18 73]
[ 1 73]	[24 73]
[ 1 73]	[24 73]
[ 1 73]	[24 73]
[ 1 73]	[ 5 73]
[ 1 73]	[ 5 73]
[ 1 73]	[ 5 73]
[ 1 73]	[ 5 73]
[ 1 73]	[ 5 73]
[ 1 73]	[ 5 73]
[ 1 73]	[ 5 73]
[ 1 73]	[10 73]
[ 1 73]	[18 73]
[ 1 73]	[18 73]
[ 1 73]	[18 73]
[ 1 73]	[18 73]
[ 1 73]	[18 73]
[ 1 73]	[24 73]
[ 1 73]	[24 73]
[ 1 73]	[24 73]
[ 1 73]	[24 73]
[ 1 73]	[ 1 73]
[ 1 73]	[ 1 73]
[ 1 73]	[ 1 73]
[ 1 73]	[ 1 73]
[ 1 73]	[ 1 73]
[ 1 73]	[ 1 73]
[ 1 73]	[ 1 73]
[ 1 73]	[ 1 73]
[ 1 73]	[ 1 73]
[ 1 73]	[ 1 73]
[ 1 73]	[ 1 73]
[ 1 73]	[ 1 73]
[ 1 81]	[ 1 73]
[ 1 80]	[ 1 73]
[ 1 80]	[ 1 80]
[ 1 78]	[ 1 81]
[ 1 80]	[ 1 78]
[ 1 78]	[ 1 80]
[ 1 76]	[ 1 78]
[ 1 76]	[ 1 76]
[ 1 76]	[ 1 76]
